Id,Categoría,Pregunta,Opción A,Opción B,Correcta,Dificultad,Explicación
1452,Tecnología,¿Qué empresa creó el ratón comercial?,Apple,Xerox,B,Difícil,Xerox lo inventó en su centro PARC; pero Apple lo hizo famoso con el Macintosh.
799,Gastronomía,¿Qué especia es la más cara?,Canela,Azafrán,B,Media,Se necesitan miles de flores de Crocus sativus para obtener un solo kilo.
188,Ciencia,¿Cuál es el metal más abundante?,Hierro,Aluminio,B,Media,El aluminio es el metal más abundante en la corteza terrestre (8%).
990,Historia,¿Quién fue el primer hombre en el espacio?,Armstrong,Gagarin,B,Media,Yuri Gagarin orbitó la Tierra en 1961 a bordo de la Vostok 1.
872,Geografía,¿Qué país tiene más lagos?,Finlandia,Canadá,B,Media,Canadá tiene más de 2 millones de lagos; más que el resto del mundo junto.
318,Cine,¿Qué actor interpreta a Iron Man?,Chris Evans,Robert Downey Jr.,B,Fácil,Su interpretación en 2008 inició el Universo Cinematográfico de Marvel.
20,Animales,¿Cuántos estómagos tiene una vaca?,Cuatro,Uno,B,Difícil,Tienen un solo estómago con cuatro compartimentos (rumen; retículo; omaso y abomaso).
920,Historia,¿En qué isla nació Napoleón?,Córcega,Elba,A,Media,Nació en Ajaccio (Córcega) poco después de que la isla pasara a ser francesa.
190,Ciencia,¿Cuál es el planeta con más lunas?,Júpiter,Saturno,B,Difícil,Saturno superó a Júpiter recientemente con un total de 146 lunas confirmadas.
422,Cultura,"¿Quién escribió ""Romeo y Julieta""?",Cervantes,Shakespeare,B,Fácil,William Shakespeare escribió esta tragedia clásica a finales del siglo XVI.
44,Animales,¿Qué animal tiene la mordida más fuerte?,León,Cocodrilo del Nilo,B,Media,Su presión alcanza los 5.000 psi; capaz de triturar huesos fácilmente.
280,Cine,¿Cuál fue la primera película animada?,Blancanieves,Pinocho,A,Media,Disney lanzó Blancanieves y los siete enanitos en 1937 como primer largometraje.
1472,Tecnología,¿Qué significa WWW?,World Wide Web,World Wide Wave,A,Fácil,Fue inventada por Tim Berners-Lee en el CERN en 1989.
800,Gastronomía,¿Qué fruta es técnicamente una baya?,Fresa,Plátano,B,Difícil,Botánicamente; el plátano cumple los requisitos de baya y la fresa no.
249,Ciencia,¿Qué parte del cuerpo nunca deja de crecer?,Ojos,Orejas y nariz,B,Media,El cartílago sigue creciendo debido a la gravedad y el envejecimiento.
1009,Historia,¿Quién pintó la Capilla Sixtina?,Da Vinci,Miguel Ángel,B,Fácil,Miguel Ángel pasó cuatro años pintando el techo (1508-1512).
820,Geografía,¿Cuál es la capital de Australia?,Sídney,Canberra,B,Media,Se eligió como compromiso entre Sídney y Melbourne en 1908.
314,Cine,¿Qué actor es James Bond actualmente?,Daniel Craig,Idris Elba,A,Fácil,"Craig terminó su etapa como 007 con la película ""No Time to Die""."
42,Animales,¿Qué animal tiene el corazón en la cabeza?,Camarón,Cangrejo,A,Difícil,Su corazón se encuentra en el cefalotórax; justo detrás de los ojos.
918,Historia,¿En qué año se descubrió América?,1492,1502,A,Fácil,Cristóbal Colón llegó a la isla de Guanahani el 12 de octubre.
192,Ciencia,¿Cuál es la velocidad de la luz?,300.000 km/s,150.000 km/s,A,Fácil,Es la constante física universal que nada puede superar.
420,Cultura,¿Quién es el autor de Harry Potter?,Tolkien,J.K. Rowling,B,Fácil,Escribió los siete libros que se convirtieron en un fenómeno mundial.
46,Animales,¿Qué animal tiene tres corazones?,Pulpo,Ballena,A,Media,Dos corazones branquiales y un corazón sistémico central.
275,Cine,¿Cómo se llama el villano de Avengers?,Thanos,Loki,A,Fácil,El Titán Loco que buscaba las seis Gemas del Infinito.
1451,Tecnología,¿Qué empresa creó Android?,Google,Android Inc.,B,Difícil,Google compró la empresa en 2005 para competir con Microsoft y Apple.
805,Gastronomía,¿Qué país consume más chocolate?,Bélgica,Suiza,B,Media,Los suizos consumen una media de 8.8 kg de chocolate por persona al año.
245,Ciencia,¿Qué metal es atraído por imanes?,Oro,Hierro,B,Fácil,El hierro es ferromagnético; lo que le permite interactuar con campos magnéticos.
991,Historia,¿Quién fue el Rey Sol?,Luis XIV,Luis XVI,A,Media,Gobernó Francia durante 72 años; el reinado más largo de la historia europea.
870,Geografía,¿Qué país tiene forma de bota?,Grecia,Italia,A,Fácil,La península itálica es famosa por su silueta geográfica única.
326,Cine,"¿Quién dirigió ""El Padrino""?",Martin Scorsese,Francis Ford Coppola,B,Media,Es considerada una de las mejores películas de la historia del cine.
34,Animales,¿Qué animal es el más rápido?,Guepardo,Halcón peregrino,B,Media,El guepardo es el terrestre (120 km/h); pero el halcón alcanza los 380 km/h al caer.
1006,Historia,¿Quién inventó la bombilla?,Tesla,Edison,B,Fácil,Thomas Edison patentó la primera bombilla comercialmente viable.
252,Ciencia,¿Qué planeta tiene anillos visibles?,Marte,Saturno,B,Fácil,Compuestos por miles de millones de trozos de hielo y roca.
416,Cultura,¿Cuál es el río más caudaloso?,Nilo,Amazonas,B,Fácil,Contiene el 20% del agua dulce líquida del planeta Tierra.
33,Animales,¿Qué animal cambia de color?,Camaleón,Iguana,A,Fácil,Usa células llamadas cromatóforos para comunicarse y camuflarse.
278,Cine,¿Cómo se llama la princesa de Star Wars?,Leia,Amidala,A,Fácil,Interpretada por Carrie Fisher; es un icono de la cultura pop.
1470,Tecnología,¿Qué significa USB?,Universal Serial Bus,United Service Base,A,Media,Es el estándar de conexión para periféricos y carga de dispositivos.
807,Gastronomía,¿Qué país inventó la Pizza?,Grecia,Italia,B,Fácil,La pizza moderna nació en Nápoles a finales del siglo XVIII.
241,Ciencia,¿Qué hueso es el fémur?,Brazo,Muslo,B,Fácil,Es el hueso más largo; fuerte y voluminoso del cuerpo humano.
994,Historia,¿Quién fue Juana de Arco?,Una reina,Una guerrera,B,Media,Heroína francesa que lideró tropas en la Guerra de los 100 años.
869,Geografía,¿Qué continente es el más seco?,África,Antártida,B,Difícil,Es técnicamente un desierto porque recibe muy pocas precipitaciones al año.
330,Cine,"¿Quién es el director de ""Pulp Fiction""?",Quentin Tarantino,Steven Spielberg,A,Media,Famoso por su estilo no lineal y diálogos memorables.
39,Animales,¿Qué animal tiene 32 cerebros?,Sanguijuela,Ciempiés,A,Difícil,Tiene 32 ganglios segmentarios que funcionan como cerebros independientes.
978,Historia,¿Quién descubrió la tumba de Tutankamón?,Howard Carter,Indiana Jones,A,Media,Encontró la cámara casi intacta en el Valle de los Reyes en 1922.
231,Ciencia,¿Qué animal es el ornitorrinco?,Mamífero,Ave,A,Media,Es un monotrema: mamífero que pone huevos y tiene pico de pato.
1084,Leyes,¿Es ilegal en Suiza tener un solo cobaya?,Sí,No,A,Difícil,Se considera maltrato porque son animales sociales que mueren de soledad.
1262,Naturaleza,¿Cuál es el animal que más humanos mata al año?,Tiburón,Mosquito,B,Fácil,El mosquito transmite enfermedades como la malaria; matando a más de 700.000 personas anuales.
965,Historia,¿Qué país dio el voto a la mujer primero?,Nueva Zelanda,EE. UU.,A,Media,Nueva Zelanda lo aprobó en 1893; décadas antes que la mayoría de potencias occidentales.
191,Ciencia,¿Cuál es el único metal que no es plateado/gris?,Cobre,Oro,B,Media,Aunque el cobre es rojizo; el oro es el único metal con ese color amarillo distintivo natural.
875,Geografía,¿Qué país tiene más zonas horarias?,Rusia,Francia,B,Difícil,Debido a sus territorios de ultramar; Francia tiene 12 zonas horarias distintas.
371,Cuerpo Humano,¿Cuántos dientes tiene un mosquito?,47,0,A,Difícil,No tienen dientes para masticar; sino pequeñas cerdas dentadas para serrar la piel.
311,Cine,¿Primera película con sonido?,El Cantor de Jazz,Metrópolis,A,Media,Estrenada en 1927; marcó el fin de la era del cine mudo.
759,Gastronomía,¿De qué está hecho el mazapán?,Almendra,Nuez,A,Fácil,Es una pasta de almendras molidas y azúcar típica de la repostería navideña.
49,Animales,¿Qué animal ve hacia adelante y atrás a la vez?,Camaleón,Caballito de mar,A,Media,Sus ojos se mueven de forma independiente; permitiendo una visión de 360 grados.
625,Espacio,¿Qué planeta tiene una tormenta de 300 años?,Júpiter,Saturno,A,Fácil,La Gran Mancha Roja es un anticiclón gigante más grande que la Tierra.
921,Historia,¿En qué país nació Adolf Hitler?,Alemania,Austria,B,Fácil,Nació en Braunau am Inn (Austria) y se mudó a Alemania a los 24 años.
186,Ciencia,¿Cuál es el gas más abundante en el aire?,Oxígeno,Nitrógeno,B,Media,El nitrógeno compone el 78% de la atmósfera terrestre.
418,Cultura,¿Libro más traducido tras la Biblia?,Pinocho,El Principito,B,Media,La obra de Saint-Exupéry ha sido traducida a más de 300 idiomas y dialectos.
828,Geografía,¿Dónde está la ciudad de Batman?,Turquía,Australia,A,Difícil,Batman es una ciudad y provincia en la región del Sudeste de Anatolia.
498,Deportes,¿Qué deporte inventaron monjes franceses?,Tenis,Esgrima,A,Media,"Evolucionó del ""jeu de paume""; donde originalmente se golpeaba la pelota con la mano."
1255,Naturaleza,¿Animal con lengua más larga que su cuerpo?,Camaleón,Oso hormiguero,A,Difícil,Su lengua puede llegar a medir el doble que la longitud de su cuerpo.
947,Historia,¿Primer emperador romano?,Julio César,Augusto,B,Media,Julio César fue dictador; pero Augusto (Octavio) fue el primer emperador oficial.
184,Ciencia,¿Congelación del agua en Fahrenheit?,32,0,A,Media,A nivel del mar; el agua pura se congela a 32°F (0°C).
1224,Música,¿Cuántas cuerdas tiene un violín?,4,6,A,Fácil,Las cuerdas son Sol; Re; La y Mi; afinadas por quintas.
802,Gastronomía,¿Qué fruta tiene más vitamina C?,Naranja,Kiwi,B,Media,El kiwi contiene casi el doble de vitamina C que una naranja por cada 100 gramos.
55,Animales,¿Único mamífero que vuela?,Murciélago,Ardilla voladora,A,Fácil,Las ardillas solo planean; el murciélago es el único con vuelo propulsado.
926,Historia,¿Guerra más corta de la historia?,38 minutos,2 días,A,Difícil,La guerra anglo-zanzibariana de 1896 duró menos de 45 minutos.
297,Cine,¿Gato de los Simpson?,Bola de Nieve,Ayudante de Santa,A,Fácil,Bola de Nieve II es el gato negro de la familia (el I era blanco).
837,Geografía,¿Lago más profundo del mundo?,Titicaca,Baikal,B,Media,Ubicado en Siberia; el Baikal alcanza los 1.642 metros de profundidad.
257,Ciencia,¿Sangre de donante universal?,O-,AB+,A,Media,El tipo O negativo no tiene antígenos A; B ni Rh; por lo que no causa reacción.
423,Cultura,¿Quién escribió el Quijote?,Cervantes,Lope de Vega,A,Fácil,Miguel de Cervantes Saavedra publicó la primera parte en 1605.
8,Animales,¿Animal que duerme con un ojo abierto?,Delfín,León,A,Media,Solo desconecta un hemisferio cerebral a la vez para poder seguir respirando.
578,Espacio,¿Cuántas lunas tiene Marte?,2,1,A,Media,Se llaman Fobos y Deimos (Miedo y Terror en griego).
962,Historia,¿Qué inventó Alfred Nobel?,Dinamita,Bombilla,A,Fácil,Creó los Premios Nobel para compensar el uso bélico de su invento.
1259,Naturaleza,¿Árbol más alto del mundo?,Secuoya,Eucalipto,A,Media,La especie Sequoia sempervirens puede superar los 115 metros de altura.
200,Ciencia,¿Elementos en la tabla periódica?,118,102,A,Media,El último añadido fue el Oganesón (número atómico 118) en 2016.
853,Geografía,¿País con más lagos?,Canadá,Finlandia,A,Media,Canadá tiene más de 2 millones de lagos; el 60% de los lagos del mundo.
494,Deportes,¿País origen del Golf?,Escocia,Irlanda,A,Fácil,El juego moderno se originó en el siglo XV en la costa este de Escocia.
419,Cultura,¿Nombre real de Salvador Dalí?,Salvador Felipe,Salvador Domingo,B,Difícil,Su nombre completo era Salvador Domingo Felipe Jacinto Dalí i Domènech.
32,Animales,¿Piel del tigre bajo el pelo?,Blanca,Rayada,B,Difícil,Las rayas del tigre están grabadas en su piel; no solo en el pelaje.
1017,Historia,¿Última reina de Francia?,María Antonieta,Catalina de Médici,A,Fácil,Murió ejecutada en la guillotina durante la Revolución Francesa.
261,Ciencia,¿Velocidad de la luz?,300.000 km/s,150.000 km/s,A,Fácil,Exactamente 299.792.458 metros por segundo en el vacío.
780,Gastronomía,¿Origen de las patatas fritas?,Bélgica,Francia,A,Media,"Aunque se llamen ""French Fries""; los belgas reclaman su invención histórica."
602,Espacio,¿Planeta más caliente?,Mercurio,Venus,B,Media,Venus tiene un efecto invernadero descontrolado que eleva su temperatura a 460°C.
286,Cine,¿Director de E.T.?,Spielberg,Lucas,A,Fácil,Steven Spielberg dirigió este clásico de la ciencia ficción en 1982.
6,Animales,¿Animal más ruidoso?,Ballena Azul,Cachalote,B,Difícil,Los clics del cachalote alcanzan los 230 decibelios; superando al avión a reacción.
992,Historia,¿Quién fue el Rey Sol?,Luis XIV,Luis XVI,A,Media,Gobernó Francia durante 72 años; el reinado más largo documentado.
848,Geografía,¿País con forma de bota?,Italia,Grecia,A,Fácil,La península itálica es inconfundible en cualquier mapa del mundo.
193,Ciencia,¿Cuántos huesos tiene un adulto?,206,300,A,Fácil,Nacemos con más huesos; pero muchos se sueldan durante el crecimiento.
426,Cultura,¿Quién pintó la Mona Lisa?,Da Vinci,Picasso,A,Fácil,Leonardo da Vinci la pintó a principios del siglo XVI.
16,Animales,¿Corazón de un elefante?,30 kg,2 kg,A,Difícil,El corazón de un elefante adulto pesa entre 20 y 30 kilos.
611,Espacio,¿Qué es el Sol?,Estrella,Planeta,A,Fácil,Es una estrella de tipo G2 que está en la mitad de su vida.
1005,Historia,¿Quién inventó el teléfono?,Meucci,Bell,A,Media,Antonio Meucci lo inventó; aunque Bell fue quien lo patentó primero.
876,Geografía,¿Río más largo?,Nilo,Amazonas,B,Media,Recientes mediciones dan la victoria al Amazonas por unos pocos kilómetros.
206,Ciencia,¿Hueso más largo?,Fémur,Húmero,A,Fácil,Ubicado en el muslo; soporta la mayor parte del peso del cuerpo.
17,Animales,¿Cuántas patas tiene una araña?,8,6,A,Fácil,Son arácnidos; no insectos; por lo que tienen 4 pares de patas.
948,Historia,¿Primer hombre en la luna?,Armstrong,Aldrin,A,Fácil,Neil Armstrong fue el primero; seguido 19 minutos después por Buzz Aldrin.
815,Geografía,¿Continente más pequeño?,Oceanía,Europa,A,Fácil,Oceanía es el continente con menor superficie terrestre.
177,Ciencia,¿Animal que no bebe agua?,Rata canguro,Camello,A,Difícil,La rata canguro obtiene toda su humedad de las semillas que come.
23,Animales,¿Dientes de un tiburón?,Se caen y renuevan,Son fijos,A,Media,Un tiburón puede perder y reponer miles de dientes a lo largo de su vida.
417,Cultura,¿Idioma más hablado?,Chino Mandarín,Inglés,A,Media,Por número de hablantes nativos; el mandarín sigue siendo el primero.
605,Espacio,¿Primer animal en el espacio?,Laika,Ham,A,Fácil,La perra soviética Laika orbitó la Tierra en el Sputnik 2 en 1957.
975,Historia,¿Quién descubrió América?,Colón,Vespucio,A,Fácil,Cristóbal Colón llegó a las Bahamas en octubre de 1492.
845,Geografía,¿Montaña más alta?,Everest,K2,A,Fácil,El Everest mide 8.848 metros sobre el nivel del mar.
237,Ciencia,¿Qué es un año luz?,Distancia,Tiempo,A,Media,Es la distancia que recorre la luz en un año (9.46 billones de km).
53,Animales,¿Sudor de hipopótamo?,Rosa,Incoloro,A,Media,Es una secreción aceitosa que actúa como filtro solar y desinfectante.
1010,Historia,¿Quién pintó la Capilla Sixtina?,Miguel Ángel,Rafael,A,Fácil,Miguel Ángel pasó 4 años pintando el techo de la capilla.
309,Cine,¿Película más taquillera?,Avatar,Endgame,A,Media,James Cameron recuperó el primer puesto con los reestrenos de Avatar.
787,Gastronomía,¿País que más café consume?,Finlandia,Colombia,A,Difícil,Los finlandeses consumen unos 12 kg de café por persona al año.
221,Ciencia,¿Planeta con anillos?,Saturno,Marte,A,Fácil,Aunque otros tienen; los de Saturno son los únicos visibles con telescopios básicos.
52,Animales,¿Sentido del gusto en mariposas?,Patas,Antenas,A,Media,Usan las patas para saber si una hoja es buena para poner huevos.
1007,Historia,¿Quién inventó la bombilla?,Edison,Tesla,A,Fácil,Edison la perfeccionó y comercializó; aunque hubo inventores previos.
821,Geografía,¿Desierto más grande?,Sahara,Antártida,B,Difícil,Cualquier región con muy pocas precipitaciones es desierto; y la Antártida lo es.
425,Cultura,¿Quién escribió Romeo y Julieta?,Shakespeare,Cervantes,A,Fácil,Publicada por primera vez en 1597.
21,Animales,¿Cuántos estómagos tiene una vaca?,1,4,A,Media,Es un solo estómago con 4 compartimentos para digerir la celulosa.
914,Historia,¿En qué año cayó el Muro de Berlín?,1989,1991,A,Media,Su caída marcó el fin simbólico de la Guerra Fría.
204,Ciencia,¿Gas que respiramos?,Nitrógeno,Oxígeno,A,Media,Respiramos aire; que es mayoritariamente nitrógeno (78%).
854,Geografía,¿País con más pirámides?,Sudán,Egipto,A,Difícil,Sudán tiene más de 250 pirámides; superando a las de Egipto.
270,Cine,¿Color original de Hulk?,Gris,Verde,A,Media,Cambió a verde porque la tinta gris era inconsistente en los cómics.
775,Gastronomía,¿Ingrediente de la sopa de nido?,Saliva de ave,Plumas,A,Difícil,Se hace con nidos de salangana; construidos casi totalmente con saliva.
214,Ciencia,¿Metal líquido?,Mercurio,Plomo,A,Fácil,Es el único metal que es líquido a temperatura y presión estándar.
11,Animales,¿Animal que no salta?,Elefante,Canguro,A,Fácil,Su estructura ósea y peso le impiden despegar las cuatro patas del suelo.
909,Historia,¿Edad de la pirámide de Giza?,4.500 años,2.000 años,A,Media,Construida alrededor del 2560 a.C. para el faraón Keops.
814,Geografía,¿Capital de Australia?,Canberra,Sídney,A,Fácil,Canberra fue construida desde cero para ser la capital.
264,Cine,¿Actor de Iron Man?,Downey Jr.,Evans,A,Fácil,Robert Downey Jr. interpretó el papel desde 2008 hasta 2019.
15,Animales,¿Corazón de pulpo?,3,1,A,Media,Tienen dos corazones branquiales y uno sistémico.
929,Historia,¿Inventó Da Vinci el helicóptero?,Solo el diseño,Sí lo construyó,A,Media,"Diseñó el ""tornillo aéreo""; pero nunca llegó a fabricar un prototipo funcional."
220,Ciencia,¿Parte del ojo con color?,Iris,Pupila,A,Fácil,El iris regula la cantidad de luz que entra por la pupila.
863,Geografía,¿País más poblado?,India,China,A,Media,India superó a China en población total durante el año 2023.
424,Cultura,¿Quién escribió Harry Potter?,Rowling,Tolkien,A,Fácil,J.K. Rowling publicó el primer libro en 1997.
7,Animales,¿Animal que cambia de sexo?,Pez payaso,Delfín,A,Media,Si la hembra dominante muere; el macho dominante cambia de sexo para sustituirla.
600,Espacio,¿Planeta gemelo de la Tierra?,Venus,Marte,A,Media,Se le llama así por su tamaño; masa y composición similares.
995,Historia,¿Quién fue Juana de Arco?,Guerrera,Reina,A,Fácil,Heroína francesa que lideró tropas en la Guerra de los Cien Años.
839,Geografía,¿Mar más salado?,Mar Muerto,Mediterráneo,A,Fácil,Es 9 veces más salado que el océano; lo que permite flotar sin esfuerzo.
208,Ciencia,¿Hueso más pequeño?,Estribo,Falange,A,Media,Se encuentra en el oído medio y mide unos 3 milímetros.
18,Animales,¿Cuántos cerebros tiene una sanguijuela?,32,1,A,Difícil,Tiene 32 ganglios segmentarios que actúan como cerebros independientes.
329,Cine,¿Quién dirigió Psicosis?,Hitchcock,Spielberg,A,Fácil,Alfred Hitchcock es el maestro del suspense.
768,Gastronomía,¿Fruta que flota?,Manzana,Sandía,A,Media,Las manzanas flotan porque el 25% de su volumen es aire.
179,Ciencia,¿Animal que no tiene cuerdas vocales?,Jirafa,Oso,A,Media,Se comunican mediante infrasonidos inaudibles para el oído humano.
936,Historia,¿Murió Napoleón en batalla?,No,Sí,A,Fácil,Murió en el exilio en la isla de Santa Elena; probablemente de cáncer.
813,Geografía,¿Canal de Panamá une?,Atlántico y Pacífico,Índico y Rojo,A,Fácil,Es una de las obras de ingeniería más importantes del mundo.
413,Cultura,"¿Autor de ""El Principito""?",Saint-Exupéry,Víctor Hugo,A,Fácil,Antoine de Saint-Exupéry lo publicó en 1943.
